VNUM	LOCALE_NAME
1	н«дџ
2	д”ќ… Џ—»н…
10	”нЁ+0
11	”нЁ+1
12	”нЁ+2
13	”нЁ+3
14	”нЁ+4
15	”нЁ+5
16	”нЁ+6
17	”нЁ+7
18	”нЁ+8
19	”нЁ+9
20	”нЁ Ўжнб+0
21	”нЁ Ўжнб+1
22	”нЁ Ўжнб+2
23	”нЁ Ўжнб+3
24	”нЁ Ўжнб+4
25	”нЁ Ўжнб+5
26	”нЁ Ўжнб+6
27	”нЁ Ўжнб+7
28	”нЁ Ўжнб+8
29	”нЁ Ўжнб+9
30	”нЁ гдћбн+0
31	”нЁ гдћбн+1
32	”нЁ гдћбн+2
33	”нЁ гдћбн+3
34	”нЁ гдћбн+4
35	”нЁ гдћбн+5
36	”нЁ гдћбн+6
37	”нЁ гдћбн+7
38	”нЁ гдћбн+8
39	”нЁ гдћбн+9
40	”нЁ ќн“—«дн+0
41	”нЁ ќн“—«дн+1
42	”нЁ ќн“—«дн+2
43	”нЁ ќн“—«дн+3
44	”нЁ ќн“—«дн+4
45	”нЁ ќн“—«дн+5
46	”нЁ ќн“—«дн+6
47	”нЁ ќн“—«дн+7
48	”нЁ ќн“—«дн+8
49	”нЁ ќн“—«дн+9
50	”нЁ Џ—н÷+0
51	”нЁ Џ—н÷+1
52	”нЁ Џ—н÷+2
53	”нЁ Џ—н÷+3
54	”нЁ Џ—н÷+4
55	”нЁ Џ—н÷+5
56	”нЁ Џ—н÷+6
57	”нЁ Џ—н÷+7
58	”нЁ Џ—н÷+8
59	”нЁ Џ—н÷+9
60	”нЁ Ё÷н+0
61	”нЁ Ё÷н+1
62	”нЁ Ё÷н+2
63	”нЁ Ё÷н+3
64	”нЁ Ё÷н+4
65	”нЁ Ё÷н+5
66	”нЁ Ё÷н+6
67	”нЁ Ё÷н+7
68	”нЁ Ё÷н+8
69	”нЁ Ё÷н+9
70	”нЁ √ж—‘нѕн+0
71	”нЁ √ж—‘нѕн+1
72	”нЁ √ж—‘нѕн+2
73	”нЁ √ж—‘нѕн+3
74	”нЁ √ж—‘нѕн+4
75	”нЁ √ж—‘нѕн+5
76	”нЁ √ж—‘нѕн+6
77	”нЁ √ж—‘нѕн+7
78	”нЁ √ж—‘нѕн+8
79	”нЁ √ж—‘нѕн+9
80	”нЁ ‘«–+0
81	”нЁ ‘«–+1
82	”нЁ ‘«–+2
83	”нЁ ‘«–+3
84	”нЁ ‘«–+4
85	”нЁ ‘«–+5
86	”нЁ ‘«–+6
87	”нЁ ‘«–+7
88	”нЁ ‘«–+8
89	”нЁ ‘«–+9
90	”нЁ »—»—н+0
91	”нЁ »—»—н+1
92	”нЁ »—»—н+2
93	”нЁ »—»—н+3
94	”нЁ »—»—н+4
95	”нЁ »—»—н+5
96	”нЁ »—»—н+6
97	”нЁ »—»—н+7
98	”нЁ »—»—н+8
99	”нЁ »—»—н+9
100	”нЁ ѕгжн+0
101	”нЁ ѕгжн+1
102	”нЁ ѕгжн+2
103	”нЁ ѕгжн+3
104	”нЁ ѕгжн+4
105	”нЁ ѕгжн+5
106	”нЁ ѕгжн+6
107	”нЁ ѕгжн+7
108	”нЁ ѕгжн+8
109	”нЁ ѕгжн+9
110	”нЁ я»н—+0
111	”нЁ я»н—+1
112	”нЁ я»н—+2
113	”нЁ я»н—+3
114	”нЁ я»н—+4
115	”нЁ я»н—+5
116	”нЁ я»н—+6
117	”нЁ я»н—+7
118	”нЁ я»н—+8
119	”нЁ я»н—+9
120	”нЁ ”Ќ—н+0
121	”нЁ ”Ќ—н+1
122	”нЁ ”Ќ—н+2
123	”нЁ ”Ќ—н+3
124	”нЁ ”Ќ—н+4
125	”нЁ ”Ќ—н+5
126	”нЁ ”Ќ—н+6
127	”нЁ ”Ќ—н+7
128	”нЁ ”Ќ—н+8
129	”нЁ ”Ќ—н+9
130	”нЁ еб«бн+0
131	”нЁ еб«бн+1
132	”нЁ еб«бн+2
133	”нЁ еб«бн+3
134	”нЁ еб«бн+4
135	”нЁ еб«бн+5
136	”нЁ еб«бн+6
137	”нЁ еб«бн+7
138	”нЁ еб«бн+8
139	”нЁ еб«бн+9
140	”нЁ гЏ—ян+0
141	”нЁ гЏ—ян+1
142	”нЁ гЏ—ян+2
143	”нЁ гЏ—ян+3
144	”нЁ гЏ—ян+4
145	”нЁ гЏ—ян+5
146	”нЁ гЏ—ян+6
147	”нЁ гЏ—ян+7
148	”нЁ гЏ—ян+8
149	”нЁ гЏ—ян+9
150	‘Ё—… «б‘»Ќ «бд«»нш…+0
151	‘Ё—… «б‘»Ќ «бд«»нш…+1
152	‘Ё—… «б‘»Ќ «бд«»нш…+2
153	‘Ё—… «б‘»Ќ «бд«»нш…+3
154	‘Ё—… «б‘»Ќ «бд«»нш…+4
155	‘Ё—… «б‘»Ќ «бд«»нш…+5
156	‘Ё—… «б‘»Ќ «бд«»нш…+6
157	‘Ё—… «б‘»Ќ «бд«»нш…+7
158	‘Ё—… «б‘»Ќ «бд«»нш…+8
159	‘Ё—… «б‘»Ќ «бд«»нш…+9
160	”нЁ дгЁн+0
161	”нЁ дгЁн+1
162	”нЁ дгЁн+2
163	”нЁ дгЁн+3
164	”нЁ дгЁн+4
165	”нЁ дгЁн+5
166	”нЁ дгЁн+6
167	”нЁ дгЁн+7
