ACCE_ABSORB_COST	 я«бнЁ «бѕгћ: %d
ACCE_ALREADY_REGISTER	 г «” Џг«б е–« «б»дѕ гд ё»б.
ACCE_DEL_ABSORDITEM	еб  —нѕ «” нЏ«» «б‘нЅ ж»«б «бн  ѕгн—ењ
ACCE_DEL_SERVEITEM	≈–« г« Ё‘б  Џгбн… «бг“ћ° Ё≈д «бж‘«Ќ 2 ”нѕгш—.
ACCE_DEL_SERVEITEM2	”нѕгш— «бж‘«Ќ 2 ≈–« г« Ё‘б  Џгбн… «бг“ћ.
ACCE_INITEM	«”Ќ» «б√‘н«Ѕ дЌж «бд«Ё–….
ACCE_MAXGRADE	≈д е–« «бж‘«Ќ гхЁ’шб.
ACCE_MAX_DRAINRATE	ёнг… «б«” нЏ«» «бё’жм
ACCE_NOTABSORBITEM	б« нгядя «” Џг«б √”бЌ… √ж ѕ—жЏ «” жЏ»  гд ё»б.
ACCE_NOT_SEALITEM	б« нгядя «” Џг«б »дѕ гх— »Ў »«б—жЌ.
ACCE_NOT_USINGITEM	б« нгядя г“ћ »хдѕ гх“жшѕ.
ACCE_NOT_WINDOWOPEN	б« нгядя «” Џг«б «б»дѕ° Ў«бг« √д д«Ё–… «бг“ћ гЁ жЌ….
ACCE_POSSIBLE_ACCE	б« нгядя «” Џг«б ‘нЅ ¬ќ— џн— «б√ж‘Ќ….
ACCE_POSSIBLE_ACCEITEM	б« нгядя «” ќ—«ћ «бЏб«ж«  гд √‘н«Ѕ √ќ—м џн— «б√”бЌ… ж«бѕ—жЏ.
AFF_LOVE_POINT	дё«Ў «бЌ»: %d%%
ALIGNMENT_NAME	дё«Ў «б — н»:
alsoExportToCharset	windows-1252
ATTACK_ERROR_UNKNOWN	ќЎ√ ећжгн гћежб:  %s
ATTENDANCE_REWARD_QUESTION	еб  —џ» Ён «бЌ’жб Џбм гя«Ё√ я «б¬дњ
ATTR_6TH_7TH_ADD_QUESTION1	б« нгядя «” ќѕ«г е–« «б»дѕ √Ћд«Ѕ ≈÷«Ё… Џб«ж….
ATTR_6TH_7TH_ADD_QUESTION2	еб √д  г √яѕ √дя  —нѕ ≈÷«Ё… «бЏб«ж…њ
ATTR_6TH_7TH_CHANGE_FAIL	б« нгядя  џнн— «бЏб«ж….
ATTR_6TH_7TH_DESC1	√. нћ» Џбня ж÷Џ «бгж«ѕ «бб«“г… б≈÷«Ё… «бЏб«ж… 6 ж 7.
ATTR_6TH_7TH_DESC2	». ” —ЁЏ яб ‘ўн… гЏѕб «бдћ«Ќ »д”»… 2%.
ATTR_6TH_7TH_DESC3	ћ. ≈” ќѕг ≈÷«Ё«  б“н«ѕ… гЏѕб «бдћ«Ќ.
ATTR_6TH_7TH_DESC4	ѕ. ” Ќ «ћ Џгбн… ≈÷«Ё… «бЏб«ж… ≈бм 24 ”«Џ…. ”нЌ Ёў б«Џ» «бЌ«”ж» »«б»дѕ «бг—«ѕ ≈÷«Ё… «бЏб«ж… ≈бне. »гћ—ѕ ≈я г«б «бЏгбн…° ”гядя ≈” Џ«ѕ… «б»дѕ гћѕѕ«.
ATTR_6TH_7TH_POSSIBILITY	нгядя ≈÷«Ё… Џб«ж… ≈÷«Ён….
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Ёх—’… «бдћ«Ќ: %.1f%%
AURA_DRAIN_PER	ёнг… «б«” нЏ«» %.1f%%
AURA_EVOLUTION_GOLD	[е«б…] бн” бѕня н«дџ я«Ёт бб Ўжн—.
AURA_IMPOSSIBLE_ABSORBITEM	[е«б…] б« нгяд дёб «бг“нѕ гд «бЏб«ж« .
AURA_IMPOSSIBLE_EQUIPITEM	[е«б…] б« нгяд дёб «б»дѕ «бгће“.
AURA_IMPOSSIBLE_EVOLUTION_ITEM	[е«б…] б« нгяд  Ўжн—е.
AURA_IMPOSSIBLE_EVOLUTION_ITEMCOUNT	[е«б…] Џѕѕ «б»джѕ џн— я«Ё бб Ўжн—.
AURA_IMPOSSIBLE_GROWTHITEM	[е«б…] б« нгяд  Ќ”нде.
AURA_IMPOSSIBLE_REFINEITEM	[е«б…] нгядя «” ќѕ«г гб«»” «бе«б…°  —”° ёб«ѕ…° Ќбё ”ж«— ЁёЎ.
AURA_IMPOSSIBLE_SEALITEM	[е«б…] б« нгядя дёб «б»джѕ «бг—»жЎ… »«б—жЌ.
AURA_ITEM_NEED_REGISTER	[е«б…] нћ» ≈ѕ—«ћ «б»джѕ.
AURA_LEVEL_STEP	«бг” жм %d («б— »… %d)
AURA_MAX_LEVEL	[е«б…] бёѕ ж’б  гб«»” «бе«б… ≈бм «бг” жм «б√ё’м.
AURA_NOTICE_DEL_ABSORDITEM	[е«б…] бёѕ  г  ѕгн— «б»дѕ «бгдёжб.
AURA_OPEN_OTHER_WINDOW	б« нгядя «бён«г »–бя ≈д я«д  д«Ё–… «б Ќ”нд √ж «б Ўжн— √ж дёб «б≈Ќ’«∆н«  гЁ жЌ….
AURA_POSSIBLE_AURAITEM	[е«б…] нгяд ЁёЎ бгб«»” «бе«б….
